Device Name,IP Address,Site,Manufacturer,Model,IOS Version,Region
4500_CORE_VSS,146.39.200.1,F06117,Cisco,Cisco Catalyst 4500 L3,03.06.00.E RELEASE SOFTWARE (fc3),US
ACARA1,146.39.67.249,ACA,Cisco,Cisco 4331 ISR,16.9.4,US
ACASL1,146.39.67.4,ACA,Cisco,Cisco Catalyst 38xx stack,16.12.7,US
ACASL2,146.39.67.5,ACA,Cisco,Cisco Catalyst 9300 Series Switch,17.3.5,US
ACASL3,146.39.67.6,ACA,Cisco,Cisco Catalyst 3560CG-8PC-S,15.2(2)E7,US
ACAVG204XM-1,146.41.238.194,ACA,Cisco,Cisco Voice Gateway 204XM,15.9(3)M6,US
acawc-01,146.39.67.210,ACA,Cisco,Cisco 3504 Wireless LAN Controller,None,US
AESRA1,146.39.67.250,AES,Cisco,Cisco 4331 ISR,15.4(3)S4,US
AESSL1,146.39.67.129,AES,Cisco,Cisco Catalyst 38xx stack,16.12.7,US
AESSL2,146.39.67.131,AES,Cisco,Cisco Catalyst 38xx stack,16.12.7,US
AGBNRWLC,146.42.149.152,Agbami,Cisco,Cisco 5500 Series Wireless Controller,None,US
AL-CORE-3850,10.6.8.1,Albert Lea Main Office,Cisco,Cisco Catalyst 38xx stack,16.12.8,US
AL-CTRL-2960,10.6.1.4,Albert Lea Control Room,Cisco,Cisco Catalyst 29xxStack,15.2(7)E2,US
AL-LCTHN-2960,10.6.1.11,Albert Lea,Cisco,Cisco Catalyst 29xxStack,15.2(2)E7,US
AL-LOAD-2960,10.6.1.12,Albert Lea,Cisco,Cisco Catalyst 29xxStack,15.2(2)E7,US
AL-MAIN-2960,10.6.1.8,Albert Lea,Cisco,Cisco Catalyst 29xxStack,15.2(2)E7,US
AL-MCC1-2960,10.6.1.25,AL REG MCC1,Cisco,Cisco Catalyst 29xxStack,15.2(7)E2,US
ALMRV1-IPT,146.30.199.249,ALM,Cisco,Cisco 3925SPE200,15.7(3)M5,US
AL-OFFICE-2960,10.6.1.3,Albert Lea Main Office,Cisco,Cisco Catalyst 29xxStack,15.2(2)E7,US
Ames215-2960-1,10.25.4.254,,Cisco,Cisco Catalyst 29xxStack,15.2(7)E4,US
Ames300-Lanstack,10.1.10.245,Ames 300,Cisco,Cisco Catalyst 29xxStack,15.0(2)EX5,US
AmesCore,10.1.1.253,Ames Server Room,Cisco,Cisco Catalyst 4500 L3,03.06.00.E RELEASE SOFTWARE (fc3),US
AMES-LANSTACK-A,10.150.62.2,Ames Server Room,Cisco,Cisco Catalyst 29xxStack,15.2(7)E7,US
AMES-LANSTACK-B,10.150.63.2,Ames Closet B,Cisco,Cisco Catalyst 29xxStack,15.0(2)EX5,US
AMES-LANSTACK-C,10.150.64.2,Ames Closet C,Cisco,Cisco Catalyst 29xxStack,15.0(2)EX5,US
AMSQX3GS1,139.65.213.77,AMSQX3,Cisco,Cisco ASR 1001 Router,15.4(3)S6a,US
AMSQX3-MS1,139.65.213.68,AMSQX3,Cisco,Catalyst 3560X 48 PoE,15.2(4)E5,US
AMSQX3RD10,139.65.213.79,AMSQX3,Cisco,Cisco ASR 1001-X Router,16.12.5,US
AMSQX3SG10v,139.65.213.80,AMSQX3,Cisco,Cisco Catalyst 4500 L3,03.08.09.E RELEASE SOFTWARE (fc2),US
AMST-3850-CORE,10.46.4.1,Amsterdam,Cisco,Cisco Catalyst 38xx stack,16.12.8,US
AO-LUA-LUAA29-RB01,139.65.210.150,LUAA29,Cisco,Cisco,17.6.3a,US
AO-LUA-LUAA29-RB02,139.65.210.151,LUAA29,Cisco,Cisco,17.6.3a,US
