Device Name,Error,IOS Version,IP Address,Manufacturer,Model,Region,Site,ios version
AS-SG-SIN-SINQX1-RE30,,17.6.3a,146.46.190.185,Cisco,Cisco,APAC,SINCQX1,Cisco IOS XE Software
AS-SG-SINQX1-SE01V,,17.6.4,146.46.190.152,Cisco,Catalyst 9500-48Y4C,APAC,,Cisco IOS XE Software
AU-NSW-F08734-RB1,,17.6.3a,139.65.183.20,Cisco,Cisco,APAC,F08734,Cisco IOS XE Software
AU-NSW-F08734-RB2,,17.6.3a,139.65.183.21,Cisco,Cisco,APAC,F08734,Cisco IOS XE Software
AU-QLD-F09020-RG1,Cannot connect to 10.196.8.3,16.12.4,10.196.8.3,Cisco,C9300L,APAC,F09020,
AU-QLD-F09027-RG1,Cannot connect to 10.192.0.3,16.12.4,10.192.0.3,Cisco,C9300L,APAC,F09027,
AU-QLD-F09027-SL1,Cannot connect to 10.192.1.7,16.12.4,10.192.1.7,Cisco,Cisco C9200L,APAC,F09027,
AU-QLD-F09027-SL4,Cannot connect to 10.192.1.9,16.12.4,10.192.1.9,Cisco,Cisco C9200L,APAC,F09027,
AU-QLD-F09028-RG1,Cannot connect to 10.208.22.3,16.12.4,10.208.22.3,Cisco,C9300L,APAC,F09028,
AU-QLD-F09028-SL1,Cannot connect to 10.208.23.5,16.12.4,10.208.23.5,Cisco,Cisco C9200L,APAC,F09028,
AU-QLD-F09028-SL2,Cannot connect to 10.208.23.6,16.12.4,10.208.23.6,Cisco,Cisco C9200L,APAC,F09028,
AU-QLD-F09028-SL3,Cannot connect to 10.208.23.7,16.12.4,10.208.23.7,Cisco,Cisco C9200L,APAC,F09028,
AU-QLD-F09029-RG1,Cannot connect to 10.208.4.3,16.12.4,10.208.4.3,Cisco,Cisco C9200L,APAC,F09029,
AU-QLD-F09029-SL1,Cannot connect to 10.208.5.5,16.12.4,10.208.5.5,Cisco,Cisco C9200L,APAC,F09029,
BANSRRE1,Cannot connect to 144.5.242.193,16.3.5,144.5.242.193,Cisco,Cisco 4331 ISR,APAC,BANS,
BD-13-DSCR-RG03,,15.2(4)E5,146.40.156.244,Cisco,Catalyst 37xx Stack,APAC,DHAK94,
BD-13-DSCR-RL3,Cannot connect to 146.40.156.245,15.5(3)M6a,146.40.156.245,Cisco,Cisco 3925K9,APAC,DHAK94,
BD-13-DSCR-SL09,,17.3.5,146.40.157.129,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,Cisco IOS XE Software
BD-13-F30831-RL01,Cannot connect to 146.40.79.245,15.7(3)M5,146.40.79.245,Cisco,Cisco 3925K9,APAC,DHAK94,
BD-13-F30831-RL02,Cannot connect to 146.40.79.249,15.5(3)M6a,146.40.79.249,Cisco,Cisco 3925K9,APAC,F30831,
BD-13-F30831-SL141,Cannot connect to 10.45.40.4,16.12.4,10.45.40.4,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,
BD-13-F30831-SL143,,16.12.4,10.45.41.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,Cisco IOS XE Software
BD-13-F30831-SL144,Cannot connect to 10.45.41.6,16.12.4,10.45.41.6,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,
BD-13-F30831-SL151,,16.12.4,10.45.42.4,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,Cisco IOS XE Software
BD-13-F30831-SL152,Cannot connect to 10.45.43.4,16.12.4,10.45.43.4,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,
BD-13-JTB-SL11,Cannot connect to 146.40.157.133,15.2(4)E5,146.40.157.133,Cisco,Catalyst 37xx Stack,APAC,DHAK94,
BEICCCE01,Cannot connect to 146.40.149.254,16.12.4,146.40.149.254,Cisco,Cisco 4431 ISR,APAC,BEIC,
BHUINRE1,,17.6.3a,144.5.171.253,Cisco,Cisco 4351 ISR,APAC,BHUIN,Cisco IOS XE Software
BHUINSE5,Cannot connect to 144.5.173.7,15.0(2)SE11,144.5.173.7,Cisco,Catalyst 2960,APAC,BHUIN,
CDBCHQCE11,Cannot connect to 10.45.63.255,16.9.4,10.45.63.255,Cisco,Cisco 4431 ISR,APAC,CDBCHQ,
CDBCHQRL11,Cannot connect to 10.45.63.253,16.9.4,10.45.63.253,Cisco,Cisco 4431 ISR,APAC,CDBCHQ,
CDBCHQSL11,,16.9.4,10.45.33.1,Cisco,Cisco Catalyst 9300 Series Switch,APAC,CDBCHQ,Cisco IOS XE Software
CDBCHQSL14,,7.0(3)I7(3),146.45.115.250,Cisco,Cisco Nexus 93180YC-FX,APAC,CDBCHQ,Cisco Nexus
CDBCHQSL15,Cannot connect to 146.45.115.251,7.0(3)I7(3),146.45.115.251,Cisco,Cisco Nexus 93180YC-FX,APAC,CDBCHQ,
CDBCHQVG11,Cannot connect to 10.45.63.252,16.9.4,10.45.63.252,Cisco,Cisco 4431 ISR,APAC,CDBCHQ,
CHE602RE1,Cannot connect to 144.5.171.252,16.4.2,144.5.171.252,Cisco,Cisco 4351 ISR,APAC,CHE602,
CHE602SE4,Cannot connect to 144.5.175.6,15.2(4)E5,144.5.175.6,Cisco,Cisco Catalyst 29xxStack,APAC,CHE602,
CN-BJ-BEICC-RL01,,17.3.3,146.40.148.1,Cisco,Cisco Catalyst 9300 Series Switch,APAC,BEIC,Cisco IOS XE Software
CN-TJ-CNTJ-SL04,Cannot connect to 146.40.145.10,17.3.5,146.40.145.10,Cisco,Cisco Catalyst 9300 Series Switch,APAC,CNTJ,
CN-TJ-CNTJ-SL05,Cannot connect to 146.40.145.5,17.3.5,146.40.145.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,CNTJ,
CNBJCE1,Cannot connect to 146.40.149.253,16.12.4,146.40.149.253,Cisco,Cisco 4431 ISR,APAC,CNBJ,
CNBJSL01,Cannot connect to 146.40.148.26,16.12.7,146.40.148.26,Cisco,Cisco Catalyst 38xx stack,APAC,CNBJ,
CNCDCE1,Cannot connect to 146.40.142.249,16.6.4,146.40.142.249,Cisco,Cisco 4331 ISR,APAC,CNCD,
